m,mg/L,%,°C,,µS/cm,µmol m-2 s-1,µmol m-2 s-1,µmol m-2 s-1,µmol m-2 s-1,m,m^-1,m^-1,m^-1,m^-1,µmol m-2 s-1,µmol m-2 s-1,µmol m-2 s-1,µmol m-2 s-1,,,,%,%,%
14,10.15,90,7.1,8.02,,5.6,1.4,,,,0.318226965450678,0.307708475894297,,,6.14464505180607,1.77225774830803,0.0614820401504785,0.0055691142030737,,green,1.70409398875772,1.70409398875772,0.495822904439343,0.150516600083073
15,,,,,245,,,,,,,,,,4.4995779903778,1.32496679356311,0.0420851365433967,0.00350094275501906,15.2793223266007,green,1.27400653227222,1.27400653227222,0.339396262446748,0.0946200744599746
16,9.24,80.5,6.3,,,3.9,1,,,,0.301060472557188,0.290274431196336,,,3.29493435679273,0.990565286409902,0.0288077414728171,0.00220081681340917,,green,0.952466621547983,0.952466621547983,0.232320495748525,0.0594815354975451
17,,,,7.91,250,,,,,,,,,,2.41280236475279,0.740561643814203,0.0197192176841084,0.00138351152392897,,green,0.712078503667503,0.712078503667503,0.15902594906539,0.0373922033494316
19,8.72,74.4,5.4,,,,,,,,,,,,1.29381361181115,0.413920975946838,0.00923954578767467,0.000546739627233306,16.9241879019013,green,0.398000938410421,0.398000938410421,0.0745124660296345,0.0147767466819812
20,,,,7.85,252,2.1,,,,,0.271800338466061,,,,0.947429054448885,0.3094536044841,0.0063245712914136,0.000343699925526366,,green,0.297551542773173,0.297551542773173,0.0510046071888194,0.00928918717638827
22,8.13,68.5,5,,,,,,,,,,,,0.508038546703317,0.172962425273083,0.00296341198573622,0.000135824216793476,19.0454671174802,green,0.166310024301041,0.166310024301041,0.0238984837559373,0.00367092477820205
25,7.3,61.2,4.8,7.76,256,1.15,,,,,0.241527286867018,,,,0.199490222223827,0.0722746666508368,0.000950459124183338,3.37422366125454E-05,20.6315967523569,green,0.0694948717796508,0.0694948717796508,0.0076649929369624,0.000911952340879606
30,5.55,46.3,4.6,7.67,259,0.6,,,,,0.222958991260553,,,,0.0420045686545483,0.0168801635004318,0.000142835380473899,3.31259464160012E-06,,green,0.0162309264427229,0.0162309264427229,0.00115189822962822,8.95295849081113E-05
0,,,,,,,,,,,,,,,,,,,,red,100,,,
1,,,,,,,,,,,0.311597366772532,0.290866900098602,0.379050474964519,0.464203720522039,,,,,,red,68.4511061122769,,,
2,,,,,,,,,,,,,,,,,,,,red,46.8555392799419,,,
3,,,,,,,,,,,,,,,,,,,,red,32.0731349119926,,,
4,,,,,,,,,,,,,,,,,,,,red,21.9544156121418,,,
5,,,,,,,,,,,,,,,,,,,,red,15.0280403269974,,,
6,,,,,,,,,,,,,,,,,,,,red,10.2868598308288,,,
7,,,,,,,,,,,,,,,,,,,,red,7.0414693384218,,,
8,,,,,,,,,,,,,,,,,,,,red,4.81996364870654,,,
9,,,,,,,,,,,,,,,,,,,,red,3.29931843174929,,,
10,,,,,,,,,,,,,,,,,,,,red,2.25841996069861,,,
11,,,,,,,,,,,,,,,,,,,,red,1.54591344375865,,,
12,,,,,,,,,,,,,,,,,,,,red,1.05819485179119,,,
13,,,,,,,,,,,,,,,,,,,,red,0.724346080874237,,,
14,,,,,,,,,,,,,,,,,,,,red,0.495822904439343,,,
15,,,,,,,,,,,,,,,,,,,,red,0.339396262446748,,,
16,,,,,,,,,,,,,,,,,,,,red,0.232320495748525,,,
17,,,,,,,,,,,,,,,,,,,,red,0.15902594906539,,,
19,,,,,,,,,,,,,,,,,,,,red,0.0745124660296345,,,
20,,,,,,,,,,,,,,,,,,,,red,0.0510046071888194,,,
22,,,,,,,,,,,,,,,,,,,,red,0.0238984837559373,,,
25,,,,,,,,,,,,,,,,,,,,red,0.0076649929369624,,,
30,,,,,,,,,,,,,,,,,,,,red,0.00115189822962822,,,
0,,,,,,,,,,,,,,,,,,,,blue,100,,,
1,,,,,,,,,,,,,,,,,,,,blue,62.8635475474146,,,
2,,,,,,,,,,,,,,,,,,,,blue,39.5182561024605,,,
3,,,,,,,,,,,,,,,,,,,,blue,24.8425777148794,,,
4,,,,,,,,,,,,,,,,,,,,blue,15.6169256537966,,,
5,,,,,,,,,,,,,,,,,,,,blue,9.81735348381881,,,
6,,,,,,,,,,,,,,,,,,,,blue,6.17153667519822,,,
7,,,,,,,,,,,,,,,,,,,,blue,3.87964689221935,,,
8,,,,,,,,,,,,,,,,,,,,blue,2.43888366876211,,,
9,,,,,,,,,,,,,,,,,,,,blue,1.5331687947384,,,
10,,,,,,,,,,,,,,,,,,,,blue,0.963804294262495,,,
11,,,,,,,,,,,,,,,,,,,,blue,0.605881570787727,,,
12,,,,,,,,,,,,,,,,,,,,blue,0.380878649333165,,,
13,,,,,,,,,,,,,,,,,,,,blue,0.239433830821505,,,
14,,,,,,,,,,,,,,,,,,,,blue,0.150516600083073,,,
15,,,,,,,,,,,,,,,,,,,,blue,0.0946200744599746,,,
16,,,,,,,,,,,,,,,,,,,,blue,0.0594815354975451,,,
17,,,,,,,,,,,,,,,,,,,,blue,0.0373922033494316,,,
19,,,,,,,,,,,,,,,,,,,,blue,0.0147767466819812,,,
20,,,,,,,,,,,,,,,,,,,,blue,0.00928918717638827,,,
22,,,,,,,,,,,,,,,,,,,,blue,0.00367092477820205,,,
25,,,,,,,,,,,,,,,,,,,,blue,0.000911952340879606,,,
30,,,,,,,,,,,,,,,,,,,,blue,8.95295849081113E-05,,,
